Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 144, 1, 21.892, 21.892, 21.902, 0.01, 4, 21.902, 26.087, 4.185, 1661, 0, 26.087, 26.111, 0.023, 47,     4.219,
 139, 1, 21.185, 21.185, 21.292, 0.107, 38, 21.292, 25.339, 4.047, 1414, 0, 25.339, 26.14, 0.801, 1602,     4.955,
 106, 1, 15.701, 15.701, 16.169, 0.468, 39, 16.169, 26.193, 10.024, 1925, 0,TimeOut
 108, 1, 16.029, 16.029, 16.197, 0.168, 5, 16.197, 26.213, 10.016, 716, 0,TimeOut
 164, 1, 24.389, 24.389, 24.968, 0.579, 1146, 24.968, 26.32, 1.353, 1931, 0, 26.32, 26.33, 0.01, 12,     1.941,
 172, 1, 25.765, 25.765, 25.771, 0.006, 13, 25.771, 26.514, 0.743, 1190, 0, 26.514, 26.58, 0.066, 121,     0.815,
 168, 1, 25.455, 25.455, 25.484, 0.029, 58, 25.484, 26.57, 1.086, 1125, 0, 26.57, 26.58, 0.01, 3,     1.125,
 150, 1, 22.297, 22.297, 22.297, 0, 9, 22.297, 26.59, 4.294, 1803, 0, 26.59, 26.628, 0.038, 75,     4.331,
 141, 1, 21.499, 21.499, 21.531, 0.032, 52, 21.531, 25.588, 4.057, 1664, 0, 25.588, 26.72, 1.132, 2265,     5.222,
 171, 1, 25.751, 25.751, 25.761, 0.01, 9, 25.761, 26.819, 1.059, 1321, 0, 26.819, 26.829, 0.01, 3,     1.079,
 175, 1, 26.193, 26.193, 26.242, 0.049, 99, 26.242, 26.961, 0.72, 1828, 0, 26.961, 26.992, 0.03, 61,     0.799,
 111, 1, 16.986, 16.986, 17.015, 0.029, 58, 17.015, 27.094, 10.079, 1069, 0,TimeOut
 152, 1, 22.831, 22.831, 22.858, 0.028, 26, 22.858, 27.103, 4.245, 1239, 0, 27.103, 27.143, 0.04, 79,     4.312,
 109, 1, 16.913, 16.913, 16.936, 0.023, 43, 16.936, 27.451, 10.516, 1384, 0, 27.451, 27.461, 0.01, 8,    10.549,
 155, 1, 23.616, 23.616, 23.626, 0.01, 18, 23.626, 27.614, 3.989, 1176, 0, 27.614, 27.628, 0.014, 27,     4.012,
 177, 1, 26.416, 26.416, 26.71, 0.294, 591, 26.71, 27.585, 0.874, 1615, 0, 27.585, 27.648, 0.063, 105,     1.231,
 113, 1, 17.748, 17.748, 17.758, 0.01, 19, 17.758, 27.828, 10.07, 1423, 0, 27.828, 27.844, 0.015, 31,    10.096,
 156, 1, 23.819, 23.819, 23.834, 0.015, 29, 23.834, 27.874, 4.04, 2084, 0, 27.874, 27.963, 0.088, 177,     4.143,
 115, 1, 17.836, 17.836, 17.846, 0.01, 2, 17.846, 28.085, 10.239, 855, 0, 28.085, 28.095, 0.01, 6,    10.259,
 180, 1, 27.221, 27.221, 27.36, 0.139, 278, 27.36, 28.095, 0.735, 1511, 0, 28.095, 28.129, 0.034, 68,     0.908,
 117, 1, 18.049, 18.049, 18.059, 0.01, 8, 18.059, 28.335, 10.275, 1726, 0, 28.335, 28.377, 0.043, 85,    10.328,
 161, 1, 24.044, 24.044, 24.057, 0.014, 27, 24.057, 28.383, 4.325, 1967, 0, 28.383, 28.426, 0.044, 98,     4.382,
 181, 1, 27.567, 27.567, 27.666, 0.099, 199, 27.666, 28.383, 0.716, 1592, 0, 28.383, 28.703, 0.32, 640,     1.136,
 182, 1, 27.651, 27.651, 27.746, 0.095, 151, 27.746, 28.461, 0.714, 1386, 0, 28.461, 28.817, 0.356, 713,     1.166,
 163, 1, 24.382, 24.382, 24.395, 0.013, 46, 24.395, 28.633, 4.238, 1620, 0, 28.633, 29.131, 0.499, 998,     4.749,
 184, 1, 28.196, 28.196, 28.348, 0.152, 294, 28.348, 29.077, 0.73, 1363, 0, 29.077, 29.34, 0.263, 525,     1.144,
 122, 1, 18.962, 18.962, 19.157, 0.195, 376, 19.157, 29.358, 10.2, 1764, 0, 29.358, 29.43, 0.072, 145,    10.468,
 186, 1, 28.624, 28.624, 28.773, 0.149, 265, 28.773, 29.489, 0.716, 992, 0, 29.489, 29.503, 0.014, 28,     0.879,
